ACC_X 0, ACC_Y 0, ACC_Z 0, ACC_X 1, ACC_Y 1, ACC_Z 1, ACC_X 2, ACC_Y 2, ACC_Z 2, Time[ms]
0.000000, 0.000000, 0.000000, -0.387707, 0.783227, -0.553239, -0.730491, 0.622577, -0.341319,  --- 0.000000
0.000000, 0.000000, 0.000000, -0.387707, 0.783227, -0.553239, -0.730491, 0.622577, -0.341319,  --- 1.001068
0.000000, 0.000000, 0.000000, -0.373546, 0.778832, -0.541032, -0.731956, 0.619648, -0.342784,  --- 2.002299
0.000000, 0.000000, 0.000000, -0.373546, 0.778832, -0.541032, -0.731956, 0.619648, -0.342784,  --- 3.003188
0.000000, 0.000000, 0.000000, -0.385754, 0.771996, -0.544450, -0.738304, 0.625019, -0.344249,  --- 4.003966
0.000000, 0.000000, 0.000000, -0.385754, 0.771996, -0.544450, -0.738304, 0.625019, -0.344249,  --- 5.004756
0.000000, 0.000000, 0.000000, -0.376476, 0.782250, -0.544938, -0.727073, 0.621112, -0.336924,  --- 6.018721
0.000000, 0.000000, 0.000000, -0.376476, 0.782250, -0.544938, -0.727073, 0.621112, -0.336924,  --- 7.019066
0.000000, 0.000000, 0.000000, -0.376476, 0.771019, -0.538590, -0.728538, 0.618671, -0.342295,  --- 8.019257
0.000000, 0.000000, 0.000000, -0.376476, 0.771019, -0.538590, -0.728538, 0.618671, -0.342295,  --- 9.019576
0.000000, 0.000000, 0.000000, -0.376964, 0.761742, -0.537614, -0.729026, 0.617694, -0.344737,  --- 10.019868
0.000000, 0.000000, 0.000000, -0.376964, 0.761742, -0.537614, -0.729026, 0.617694, -0.344737,  --- 11.020170
0.000000, 0.000000, 0.000000, -0.373058, 0.764672, -0.535661, -0.734885, 0.627460, -0.330088,  --- 12.020559
0.000000, 0.000000, 0.000000, -0.373058, 0.764672, -0.535661, -0.734885, 0.627460, -0.330088,  --- 13.020836
0.000000, 0.000000, 0.000000, -0.382336, 0.767601, -0.534196, -0.730002, 0.625019, -0.352061,  --- 14.021071
0.000000, 0.000000, 0.000000, -0.382336, 0.767601, -0.534196, -0.730002, 0.625019, -0.352061,  --- 15.021344
0.000000, 0.000000, 0.000000, -0.376476, 0.767601, -0.535172, -0.730002, 0.620136, -0.331065,  --- 16.021683
0.000000, 0.000000, 0.000000, -0.376476, 0.767601, -0.535172, -0.730002, 0.620136, -0.331065,  --- 17.022144
0.000000, 0.000000, 0.000000, -0.376476, 0.769554, -0.538590, -0.732932, 0.624531, -0.324229,  --- 18.022451
0.000000, 0.000000, 0.000000, -0.376476, 0.769554, -0.538590, -0.732932, 0.624531, -0.324229,  --- 19.022730
0.000000, 0.000000, 0.000000, -0.374523, 0.766136, -0.524430, -0.731956, 0.625019, -0.325693,  --- 20.023026
0.000000, 0.000000, 0.000000, -0.374523, 0.766136, -0.524430, -0.731956, 0.625019, -0.325693,  --- 21.023912
0.000000, 0.000000, 0.000000, -0.367687, 0.768578, -0.541520, -0.733421, 0.630878, -0.345714,  --- 22.024279
